"ストラテジ系","企業の存在意義や未来像、そして組織で働く人々が共有すべき価値観を評価し定義したものがある。この説明に適した用語を選べ","MVV","CSR","パーパス経営","SRI","1","0.0"
"テクノロジ系","CPUの主な役割はどれ？","記憶","演算・制御","通信","表示","2","-1.5"
"テクノロジ系","IPアドレスの説明として正しいものは？","インターネット上の住所","名前","パスワード","解像度","1","-1.0"
"テクノロジ系","公開鍵暗号方式で暗号化に使う鍵は？","共通鍵","秘密鍵","公開鍵","署名鍵","3","-0.5"
"ストラテジ系","OODAループの『状況判断（Orient）』にあたる事例として適切なものを選べ","前髪カットやカラーリングは低額×多頻度の方がニーズがあると推測した","サブスクモデルの新規客は若い層を中心に利用されている","固定客のお客様には前髪カットとカラーリングの割引をする","近所に前髪カットやカラーリングの専門店が開店した","1","1.5"
"ストラテジ系","既存顧客との安定的な関係を維持していくための手法として適切なものを選べ","リードジェネレーション","アクイジョン","リテンション","デジタルサイネージ","3","0.5"
"ストラテジ系","次の事例のうちマトリックス組織にあたるものとして適切なものはどれか","社員が従来の職能部門に所属しながら、プロジェクトチームの指示も受け、2人の上司を持つ状態で業務を進めている。","「営業部」「開発部」「人事部」のように職務内容ごとに専門部署を分け、各部署の部長からのみ指揮命令を受けて業務を進めている。","製品や地域ごとに独立した「事業部」を設け、その事業部の中で開発から営業・販売までの一連の業務を完結させている。","特定の緊急課題を解決するために、通常業務から完全に離れて専従する一時的なチームを結成し、課題解決後に元の部署へ復帰した。","1","0.0"
"ストラテジ系","思い込みや経験などに基づき、合理的な判断ができなくなる心理現象として適切なものを選べ","選択バイアス","認知バイアス","情報バイアス","交絡","2","0.0"
"ストラテジ系","ブレーンライティングの説明として適切なものはどれか","テーマを設け、制限時間内にアイデアを出し合う","テーマを設け、制限時間内に用紙へアイデアを書き、時間経過後に次の人へ回し合ってアイデアを深める","テーマに関する意見などを書き出してもらい、それらをグループ化する","3×3の9マスの中心にテーマを書き、周囲のマスに連想するアイデアを埋めて思考を広げる","2","0.0"
"ストラテジ系","ある企業が新しいWeb広告施策に 400万円 を投資した。この施策によって 1,000万円 の売上が得られ、その売上に対する売上原価および諸費用は 400万円 であった。この広告施策のROI（投資利益率）として最も適切なものはどれか。","25%","250%","150%","50%","4","1.0"
"ストラテジ系","サービスマークにあたるものとして適切なものを選べ","自社のサービスを他社のサービスと区別するために使用する商標","自社の商品やサービスを他社のそれと区別するために使用するマーク","自社の商品・サービスを示す商標","対象となる名称やロゴが商標登録されていることを示すマーク","1","0.0"
"ストラテジ系","個人情報保護委員会の行っている業務の説明として適切なものを選べ","特定個人情報の取扱いに関する監視・監督","事業者による不当な表示や過大な景品類を規制し、消費者取引の公正化を図る","サイバー攻撃や不正アクセス行為に関する技術的な捜査および容疑者の検挙を行う","電気通信事業者に対する事業の免許交付や電波の割り当て等の管理を行う","1","0.0"
"ストラテジ系","個人情報から氏名などの識別可能な記述を削除・置換し、特定の個人を識別できず、かつ元の情報を復元できない状態に加工することとして適切なものを選べ","暗号化","仮名化","匿名化","マスキング","3","0.0"
"ストラテジ系","裁量労働制の説明として適切なものを選べ","実際の労働時間にかかわらず、あらかじめ定めた労働時間分を働いたものと見なし、賃金を支払う制度","年収要件等を満たす高度専門職を対象に、休日確保等を条件として労働時間規制等を適用外とする制度","３か月以内の一定期間における総労働時間をあらかじめ定めておき、労働者はその枠内で各日の始業及び終業の時刻を自主的に決定し働く制度","指揮が及ばず時間算定が困難な事業場外労働を、所定労働時間または通常必要時間働いたとみなす制度","1","0.5"
